latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
9.02784,77.72874,334.2,0.49,0.65,2018-09-01,0724,N,VIIRS,n,1.0NRT,281.8,3.9,D
18.55398,74.35365,340.3,0.53,0.67,2018-09-01,0724,N,VIIRS,n,1.0NRT,290.9,10.1,D
23.55072,87.24381,335.3,0.41,0.37,2018-09-01,0724,N,VIIRS,n,1.0NRT,295.3,6.9,D
23.72199,86.44272,330.2,0.39,0.36,2018-09-01,0724,N,VIIRS,n,1.0NRT,290.3,2.8,D
23.72533,86.44215,334.4,0.39,0.36,2018-09-01,0724,N,VIIRS,n,1.0NRT,288.8,5,D
23.77484,86.3905,335.8,0.39,0.36,2018-09-01,0724,N,VIIRS,n,1.0NRT,289.9,6.7,D
23.75559,85.86322,331.1,0.39,0.36,2018-09-01,0724,N,VIIRS,n,1.0NRT,299,5.5,D
11.30273,79.80861,302.3,0.47,0.39,2018-09-01,2000,N,VIIRS,n,1.0NRT,283.5,0.6,N
25.0278,87.37024,322,0.39,0.36,2018-09-01,1954,N,VIIRS,n,1.0NRT,292.1,2.2,N
23.80485,87.04095,312.4,0.39,0.36,2018-09-01,1954,N,VIIRS,n,1.0NRT,291.6,2,N
23.69406,87.11821,308.3,0.39,0.36,2018-09-01,1954,N,VIIRS,n,1.0NRT,291.1,1.7,N
23.69343,87.12202,312.1,0.39,0.36,2018-09-01,1954,N,VIIRS,n,1.0NRT,291.5,2.6,N
23.68992,87.10165,306.8,0.39,0.36,2018-09-01,1954,N,VIIRS,n,1.0NRT,289.2,1.7,N
23.80416,86.33276,309.4,0.38,0.36,2018-09-01,1954,N,VIIRS,n,1.0NRT,291.2,2.1,N
23.80205,86.32463,332.6,0.38,0.36,2018-09-01,1954,N,VIIRS,n,1.0NRT,292.7,5,N
23.79847,86.34716,328.3,0.38,0.36,2018-09-01,1954,N,VIIRS,n,1.0NRT,295,5.2,N
23.73372,86.74998,306.2,0.39,0.36,2018-09-01,1954,N,VIIRS,n,1.0NRT,291.6,1.9,N
23.72918,86.7569,312.6,0.39,0.36,2018-09-01,1954,N,VIIRS,n,1.0NRT,292.1,2.9,N
23.79127,86.34968,311.1,0.38,0.36,2018-09-01,1954,N,VIIRS,n,1.0NRT,291.5,2.3,N
23.78078,86.39412,349.7,0.38,0.36,2018-09-01,1954,N,VIIRS,n,1.0NRT,294.1,4.1,N
23.78138,86.39036,315.6,0.38,0.36,2018-09-01,1954,N,VIIRS,n,1.0NRT,291.5,4.1,N
23.77816,86.39042,321,0.38,0.36,2018-09-01,1954,N,VIIRS,n,1.0NRT,291.8,2.8,N
23.77756,86.39418,336.2,0.38,0.36,2018-09-01,1954,N,VIIRS,n,1.0NRT,292.8,2.8,N
23.77697,86.39794,306.3,0.38,0.36,2018-09-01,1954,N,VIIRS,n,1.0NRT,291.4,1.1,N
23.78679,86.3147,322.9,0.38,0.36,2018-09-01,1954,N,VIIRS,n,1.0NRT,293.3,5,N
23.78262,86.34098,324.1,0.38,0.36,2018-09-01,1954,N,VIIRS,n,1.0NRT,291.8,2.5,N
23.77486,86.38979,325.2,0.38,0.36,2018-09-01,1954,N,VIIRS,n,1.0NRT,293,2.8,N
23.78381,86.33347,312.3,0.38,0.36,2018-09-01,1954,N,VIIRS,n,1.0NRT,292,3.2,N
23.78322,86.33723,313.4,0.38,0.36,2018-09-01,1954,N,VIIRS,n,1.0NRT,292.5,2.5,N
23.77426,86.39356,314,0.38,0.36,2018-09-01,1954,N,VIIRS,n,1.0NRT,293.2,2.8,N
23.77366,86.39732,310.8,0.38,0.36,2018-09-01,1954,N,VIIRS,n,1.0NRT,291.5,1.1,N
23.77156,86.38918,333.6,0.38,0.36,2018-09-01,1954,N,VIIRS,n,1.0NRT,292.5,2.3,N
23.79598,86.23526,308.1,0.38,0.36,2018-09-01,1954,N,VIIRS,n,1.0NRT,290.9,3.2,N
23.79538,86.23901,306,0.38,0.36,2018-09-01,1954,N,VIIRS,n,1.0NRT,290.9,3.2,N
23.78468,86.30657,313.8,0.38,0.36,2018-09-01,1954,N,VIIRS,n,1.0NRT,292.3,3.1,N
23.77932,86.34036,314.2,0.38,0.36,2018-09-01,1954,N,VIIRS,n,1.0NRT,291.3,2.2,N
23.77872,86.34412,318.4,0.38,0.36,2018-09-01,1954,N,VIIRS,n,1.0NRT,292.6,2.6,N
23.77096,86.39294,306.8,0.38,0.36,2018-09-01,1954,N,VIIRS,n,1.0NRT,291.6,2.3,N
23.76826,86.38856,317.9,0.38,0.36,2018-09-01,1954,N,VIIRS,n,1.0NRT,291.7,2.3,N
23.76706,86.39607,307.2,0.38,0.36,2018-09-01,1954,N,VIIRS,n,1.0NRT,292,2.4,N
23.76587,86.40358,307.4,0.38,0.36,2018-09-01,1954,N,VIIRS,n,1.0NRT,291.3,1.8,N
23.76436,86.39169,307.8,0.38,0.36,2018-09-01,1954,N,VIIRS,n,1.0NRT,292.1,1.3,N
23.76376,86.39545,308.2,0.38,0.36,2018-09-01,1954,N,VIIRS,n,1.0NRT,291.9,2.7,N
23.67303,86.93817,304.7,0.39,0.36,2018-09-01,1954,N,VIIRS,n,1.0NRT,287.2,0.7,N
23.75656,86.39796,314.6,0.38,0.36,2018-09-01,1954,N,VIIRS,n,1.0NRT,292,0.9,N
23.75296,86.42049,311.9,0.38,0.36,2018-09-01,1954,N,VIIRS,n,1.0NRT,291.9,1.8,N
23.74966,86.41987,325,0.38,0.36,2018-09-01,1954,N,VIIRS,n,1.0NRT,292.2,1.8,N
23.66948,86.91792,326,0.39,0.36,2018-09-01,1954,N,VIIRS,n,1.0NRT,287.8,2.6,N
23.75325,86.39734,306.4,0.38,0.36,2018-09-01,1954,N,VIIRS,n,1.0NRT,291,0.9,N
23.75026,86.41611,312.7,0.38,0.36,2018-09-01,1954,N,VIIRS,n,1.0NRT,291,1.8,N
23.66616,86.91728,333.7,0.39,0.36,2018-09-01,1954,N,VIIRS,n,1.0NRT,288.3,4.7,N
23.74576,86.423,309.9,0.38,0.36,2018-09-01,1954,N,VIIRS,n,1.0NRT,291,2.1,N
23.73736,86.43302,306.4,0.38,0.36,2018-09-01,1954,N,VIIRS,n,1.0NRT,290.9,1.7,N
23.72955,86.43929,315.2,0.38,0.36,2018-09-01,1954,N,VIIRS,n,1.0NRT,292.3,2.7,N
23.72565,86.44242,320.6,0.38,0.36,2018-09-01,1954,N,VIIRS,n,1.0NRT,292.2,2.9,N
23.72234,86.4418,335.4,0.38,0.36,2018-09-01,1954,N,VIIRS,n,1.0NRT,293,4.5,N
23.72294,86.43804,310.1,0.38,0.36,2018-09-01,1954,N,VIIRS,n,1.0NRT,291.3,1.9,N
23.71784,86.44869,306.8,0.39,0.36,2018-09-01,1954,N,VIIRS,n,1.0NRT,291.9,1.5,N
23.64108,86.92421,306.7,0.39,0.36,2018-09-01,1954,N,VIIRS,n,1.0NRT,289.5,1.1,N
23.60364,87.15273,308.8,0.39,0.36,2018-09-01,1954,N,VIIRS,n,1.0NRT,291.1,2.2,N
