latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp
25.97347,80.775,343.1,0.49,0.4,2017-10-09,0801,N,VIIRS,n,1,301,5
25.97451,80.77663,337.4,0.49,0.4,2017-10-09,0801,N,VIIRS,n,1,300.1,3.9
25.96688,80.76463,334.1,0.39,0.59,2017-10-13,0826,N,VIIRS,n,1,294.1,4.5
25.97337,78.83936,331.8,0.41,0.37,2017-10-09,0801,N,VIIRS,l,1,306.8,2.3
25.85583,78.31055,339.7,0.4,0.37,2017-10-15,0748,N,VIIRS,l,1,312,4.4
25.54087,82.04563,305.4,0.38,0.36,2017-09-13,2015,N,VIIRS,n,1,288,0.9
25.95319,80.73347,342.2,0.39,0.44,2017-10-14,0807,N,VIIRS,n,1,307.6,5.3
27.518,81.82668,333.4,0.42,0.38,2017-10-16,0730,N,VIIRS,n,1,301.9,2.4
25.62201,81.35571,331.6,0.4,0.37,2017-10-05,0736,N,VIIRS,n,1,300.2,1.9
25.61204,81.38055,335.5,0.52,0.42,2017-10-09,0801,N,VIIRS,n,1,299.9,3.3
26.06873,78.80527,344.6,0.4,0.44,2017-10-16,0730,N,VIIRS,n,1,314.1,2.4
24.20384,82.72508,307.3,0.52,0.42,2017-09-23,2028,N,VIIRS,n,1,293.9,1.1
24.52904,80.71084,332,0.41,0.45,2017-10-11,0723,N,VIIRS,n,1,293.6,3.3
28.02072,78.05795,334.9,0.45,0.47,2017-10-08,0820,N,VIIRS,n,1,303.5,1.9
24.16224,82.54936,313.4,0.39,0.36,2017-09-24,2009,N,VIIRS,n,1,288.8,1
24.16104,82.54946,321.8,0.41,0.37,2017-10-05,2003,N,VIIRS,n,1,282,1.9
24.17118,82.56364,304,0.38,0.36,2017-10-10,2009,N,VIIRS,n,1,292.4,0.5
24.20175,80.80029,314.1,0.39,0.36,2017-09-02,2021,N,VIIRS,n,1,295.4,1.7
28.27947,80.1864,333.8,0.57,0.43,2017-10-11,0724,N,VIIRS,n,1,299.3,5.8
28.30114,80.17377,352.8,0.35,0.57,2017-10-12,0705,N,VIIRS,n,1,293.9,4.9
28.26185,80.21604,333.9,0.38,0.59,2017-10-13,0827,N,VIIRS,n,1,300.6,2
28.27691,80.18798,346.3,0.38,0.58,2017-10-13,0827,N,VIIRS,n,1,299.7,6.7
28.3042,80.15552,332.5,0.39,0.36,2017-10-15,0749,N,VIIRS,l,1,303,3.8
27.27155,81.16644,337.4,0.52,0.42,2017-10-11,0724,N,VIIRS,n,1,299.4,5.9
26.95314,81.12654,336.4,0.43,0.46,2017-10-14,0808,N,VIIRS,n,1,304.7,2.9
